#{"t_start": 1754093458.0675297, "env_id": "None"}
r,l,t
93.854291,365,262.764411
106.499928,365,263.093429
199.428066,365,263.400518
103.387399,365,263.693811
124.110458,365,264.015804
127.149453,365,264.32682
122.976264,365,264.6249
175.229426,365,264.941475
201.13902,365,265.254471
173.442935,365,265.552471
151.763302,365,265.854685
125.569559,365,266.15866
110.893582,365,266.454668
154.385882,365,266.767664
202.81984,365,267.063177
163.893647,365,267.364404
216.388617,365,267.658402
57.566765,365,267.973642
129.15157,365,268.273656
166.373728,365,268.569897
207.341027,365,268.882812
160.732395,365,269.19456
82.128288,365,269.501769
148.134868,365,269.805771
158.939542,365,270.099768
177.5819,365,270.403806
74.997564,365,270.695841
78.803982,365,270.994833
140.56375,365,271.292834
133.536581,365,271.611391
152.523589,365,271.917069
138.951668,365,272.222061
115.807032,365,272.577097
129.649264,365,272.923903
85.289157,365,273.240224
159.860347,365,273.532313
123.664528,365,273.834267
143.068085,365,274.15923
161.741213,365,274.472319
127.618939,365,274.795307
165.205897,365,275.098773
164.700048,365,275.417867
120.099098,365,275.699451
110.971716,365,275.995953
144.988357,365,276.302858
141.859035,365,276.608628
185.237577,365,276.90022
198.797393,365,277.192316
168.50201,365,277.474436
156.646803,365,277.770325
144.54328,365,278.058864
170.710745,365,278.354954
71.765202,365,278.649048
168.067776,365,278.946514
143.383254,365,279.232514
196.726283,365,279.512523
99.988666,365,279.793521
87.897347,365,280.082689
104.136639,365,280.358688
161.48234,365,280.635688
121.631413,365,280.92666
105.6863,365,281.233012
135.716273,365,281.521794
146.30256,365,281.808196
170.088142,365,282.087217
139.453753,365,282.382199
120.214118,365,282.663025
163.102271,365,282.958992
172.487955,365,283.245953
171.217738,365,283.544021
129.397627,365,283.828985
159.32659,365,284.103362
168.342857,365,284.385406
78.392493,365,284.683998
161.683687,365,284.962997
82.425469,365,285.239082
159.9538,365,285.522732
110.941789,365,285.84671
169.907854,365,286.138707
194.860788,365,286.427711
136.183818,365,286.712707
154.811643,365,287.010903
147.551708,365,287.296703
131.245325,365,287.583702
114.643112,365,287.866699
192.330432,365,288.173141
135.207984,365,288.489657
93.730354,365,288.778289
161.349685,365,289.059284
148.44267,365,289.352367
170.376626,365,289.634506
58.065687,365,289.910505
207.915081,365,290.206505
165.294045,365,290.490505
80.460895,365,290.778624
162.082564,365,291.061539
139.807209,365,291.337866
160.132652,365,291.620861
188.469051,365,291.899772
167.829401,365,292.189857
149.914057,365,292.472834
180.707472,365,292.768601
133.537625,365,293.059604
173.797511,365,293.347265
165.256235,365,293.637331
131.876253,365,293.952331
148.739505,365,294.295327
168.710825,365,294.602329
185.717564,365,294.889411
133.292113,365,295.200288
111.709577,365,295.495369
180.506526,365,295.77406
184.357839,365,296.055062
144.03675,365,296.345844
148.764575,365,296.639384
95.528862,365,296.910687
171.679709,365,297.254417
182.203237,365,297.704529
75.551479,365,298.025218
143.92063,365,298.319079
150.162592,365,298.605076
86.722711,365,298.896964
142.294064,365,299.20243
158.384283,365,299.488716
163.802952,365,299.762056
116.297927,365,300.0542
186.100822,365,300.343738
80.573924,365,300.634307
117.879472,365,300.910595
71.369922,365,301.200681
71.445798,365,301.48615
90.420354,365,301.778236
153.166064,365,302.080244
131.184505,365,302.371158
169.649955,365,302.647257
133.704444,365,302.938123
53.608436,365,303.231874
171.053745,365,303.526877
135.814743,365,303.796962
152.614796,365,304.085515
84.74928,365,304.364815
181.612464,365,304.658729
165.993955,365,304.947734
147.148235,365,305.230812
154.019478,365,305.522317
122.266261,365,305.822409
261.453522,365,306.117409
115.24239,365,306.397213
289.723589,365,306.783681
167.949007,365,307.176092
105.89755,365,307.542001
97.862586,365,307.935
169.818184,365,308.416
158.890278,365,308.810997
