#{"t_start": 1754094254.136626, "env_id": "None"}
r,l,t
24.589538,365,189.808217
20.515151,365,189.963292
98.526436,365,191.213743
55.991476,365,191.398746
103.877862,365,191.56375
99.915761,365,191.719748
82.584993,365,191.873749
62.108785,365,193.05631
65.288766,365,193.263611
58.790991,365,193.442614
2.967976,365,193.60969
67.311976,365,193.769614
70.895851,365,193.924358
36.800196,365,195.170111
69.354983,365,195.362425
55.639449,365,195.524436
24.357609,365,195.678335
24.889047,365,195.83245
36.33676,365,195.987136
54.712325,365,197.225124
39.745805,365,197.401079
54.462355,365,197.564217
57.055961,365,197.723307
69.706944,365,197.880212
-5.425854,365,199.11581
-34.20116,365,199.325885
46.33642,365,199.500505
-26.823912,365,199.664387
9.74193,365,199.824308
0.811999,365,199.977398
-38.67315,365,201.216698
55.05429,365,201.405696
66.117869,365,201.579601
61.702752,365,201.741587
-10.469977,365,201.898678
-63.538703,365,203.094016
47.235107,365,203.311023
47.448135,365,203.486114
-17.478963,365,203.643106
29.51353,365,203.795022
53.070793,365,203.963884
48.643532,365,205.175998
-8.670766,365,205.371856
-22.135552,365,205.539855
54.400173,365,205.699127
66.02362,365,205.854119
94.880232,365,206.008131
46.528966,365,207.251758
102.463697,365,207.42982
15.793314,365,207.59283
31.479468,365,207.749125
27.552361,365,207.907121
68.199504,365,209.115093
44.904484,365,209.316195
35.043863,365,209.489131
51.979322,365,209.645132
71.098669,365,209.798443
52.402885,365,209.95544
72.652104,365,211.17652
3.571403,365,211.366601
27.339202,365,211.538614
30.133992,365,211.697808
-25.092971,365,211.852812
21.120663,365,213.185405
17.842847,365,213.410424
4.596231,365,213.582503
36.688767,365,213.74441
72.395355,365,213.89975
-9.462431,365,214.052839
28.107268,365,215.262084
66.438333,365,215.459084
68.844297,365,215.629601
89.466835,365,215.791619
97.885918,365,215.94571
16.973107,365,216.098716
33.780137,365,217.325735
12.410144,365,217.503803
32.588201,365,217.667819
53.627081,365,217.824657
75.365364,365,217.98371
19.49928,365,219.179734
94.072578,365,219.388531
17.224365,365,219.562607
50.178422,365,219.724517
56.352642,365,219.879611
22.793403,365,220.033607
13.482299,365,221.321002
51.610114,365,221.508005
25.544648,365,221.670004
-3.284778,365,221.823937
5.278474,365,221.978959
11.04134,365,223.15362
50.97804,365,223.361917
39.046472,365,223.544897
44.014068,365,223.700881
11.307614,365,223.852882
70.137414,365,224.007923
81.906621,365,225.240905
63.762054,365,225.439279
7.823678,365,225.611473
40.287591,365,225.775476
49.161054,365,225.940473
52.688206,365,226.101561
26.361846,365,227.32346
31.116028,365,227.504719
36.410203,365,227.667708
33.409779,365,227.827772
51.050938,365,227.985875
25.555707,365,229.275834
62.535947,365,229.481278
81.365047,365,229.661282
94.879821,365,229.82637
92.140153,365,229.984275
40.642152,365,230.13837
55.925127,365,231.333806
74.408335,365,231.524858
-46.889998,365,231.694678
30.47769,365,231.856059
27.603098,365,232.014066
21.150556,365,232.166057
53.940292,365,233.4288
12.108406,365,233.603796
32.928005,365,233.764897
43.526371,365,233.931211
108.175428,365,234.089314
27.506468,365,235.307596
6.467392,365,235.506597
48.188711,365,235.680688
71.616973,365,235.843598
53.610833,365,236.003594
90.207313,365,236.155596
75.439532,365,237.401673
80.666468,365,237.587679
60.360845,365,237.747658
28.844426,365,237.905657
17.568214,365,238.060131
24.623783,365,239.256374
69.280795,365,239.464379
62.749335,365,239.635397
53.345639,365,239.795449
60.825296,365,239.954357
36.840056,365,240.110086
100.397139,365,241.344244
61.285612,365,241.540236
-0.045396,365,241.704322
45.618081,365,241.858558
27.182701,365,242.01155
30.675724,365,242.164563
29.328636,365,243.419144
-5.721091,365,243.600144
87.724932,365,243.765143
34.310823,365,243.926629
60.095565,365,244.07963
48.991779,365,245.266441
57.327945,365,245.475434
27.247638,365,245.64943
19.47447,365,245.812425
